model,latency (ms),latency_per_tkn (ms),tp,batch_size,input_len,output_len,dtype
Mistral-7B-v0.1,56.096909614279866,56.096909614279866,2,1,128,1,float16
Mistral-7B-v0.1,56.34966897778213,56.34966897778213,2,2,128,1,float16
Mistral-7B-v0.1,57.59899760596454,57.59899760596454,2,4,128,1,float16
Mistral-7B-v0.1,71.98268040083349,71.98268040083349,2,8,128,1,float16
Mistral-7B-v0.1,100.18014921806753,100.18014921806753,2,16,128,1,float16
Mistral-7B-v0.1,161.9606084190309,161.9606084190309,2,32,128,1,float16
Mistral-7B-v0.1,286.3368053454906,286.3368053454906,2,64,128,1,float16
Mistral-7B-v0.1,528.8790250197053,528.8790250197053,2,128,128,1,float16
Mistral-7B-v0.1,1034.3437534756958,1034.3437534756958,2,256,128,1,float16
Mistral-7B-v0.1,99.19685535132885,99.19685535132885,2,1,2048,1,float16
Mistral-7B-v0.1,155.91123178601265,155.91123178601265,2,2,2048,1,float16
Mistral-7B-v0.1,275.30466062016785,275.30466062016785,2,4,2048,1,float16
Mistral-7B-v0.1,512.519467016682,512.519467016682,2,8,2048,1,float16
Mistral-7B-v0.1,959.5504613593221,959.5504613593221,2,16,2048,1,float16
Mistral-7B-v0.1,1908.2111704163253,1908.2111704163253,2,32,2048,1,float16
Mistral-7B-v0.1,3827.7292449958622,3827.7292449958622,2,64,2048,1,float16
Mistral-7B-v0.1,7677.726443437859,7677.726443437859,2,128,2048,1,float16
Mistral-7B-v0.1,15377.945468015969,15377.945468015969,2,256,2048,1,float16
Mistral-7B-v0.1,1995.6925329752266,15.591347913868958,2,1,128,128,float16
Mistral-7B-v0.1,2058.5851630661637,16.082696586454404,2,2,128,128,float16
Mistral-7B-v0.1,2439.3388755619526,19.057334965327755,2,4,128,128,float16
Mistral-7B-v0.1,2595.9663247223943,20.280986911893706,2,8,128,128,float16
Mistral-7B-v0.1,2941.9934511650354,22.98432383722684,2,16,128,128,float16
Mistral-7B-v0.1,3889.870512019843,30.389613375155022,2,32,128,128,float16
Mistral-7B-v0.1,4473.061303468421,34.94579143334704,2,64,128,128,float16
Mistral-7B-v0.1,5897.02846640721,46.070534893806325,2,128,128,128,float16
Mistral-7B-v0.1,9116.47527422756,71.22246307990281,2,256,128,128,float16
Mistral-7B-v0.1,2532.0172499865294,19.78138476551976,2,1,2048,128,float16
Mistral-7B-v0.1,2624.9145183712244,20.50714467477519,2,2,2048,128,float16
Mistral-7B-v0.1,2958.715456770733,23.11496450602135,2,4,2048,128,float16
Mistral-7B-v0.1,3540.1167452335358,27.657162072136998,2,8,2048,128,float16
Mistral-7B-v0.1,4472.265222016722,34.93957204700564,2,16,2048,128,float16
Mistral-7B-v0.1,5893.0582055822015,46.03951723111095,2,32,2048,128,float16
Mistral-7B-v0.1,8781.738473987207,68.60733182802505,2,64,2048,128,float16
Mistral-7B-v0.1,14667.19620921649,114.58747038450383,2,128,2048,128,float16
Mistral-7B-v0.1,25623.27590896748,200.18184303880844,2,256,2048,128,float16
